Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans
1,6754,5954,9363,15732,7101,9575,54479,0,0,0,0,0,0,0,2489,2197,773,1804,1539,858,1020,688,87,746,468,87,0,0,0,0,0,0,0
1,6722,5969,9624,15810,7069,9445,54639,0,1,0,0,0,0,1,2489,2238,801,1933,1531,894,979,678,71,759,460,82,0,0,0,0,0,0,0
2,7157,6166,9572,15626,7001,9413,54935,2,0,0,0,0,0,2,2657,2292,808,1872,1493,863,1059,689,62,765,428,97,1,1,1,0,1,1,2
3,7413,6087,9412,15486,7019,9256,54673,1,0,0,0,0,0,1,2684,2288,687,1838,1547,801,1089,700,74,732,448,68,1,1,1,0,0,1,2
1,6684,6010,9612,15871,7021,9592,54790,0,0,2,2,0,0,4,2461,2256,820,1873,1522,930,988,726,75,771,446,79,0,0,0,0,1,0,4
2,7136,6031,9522,15872,7017,9490,55068,0,2,1,4,1,2,10,2634,2228,787,1811,1535,855,1015,658,98,725,462,88,3,0,0,0,3,17,13
3,7437,6099,9554,15811,7123,9593,55617,4,1,0,7,0,3,15,2778,2269,764,1968,1537,839,1087,704,68,751,464,94,3,2,1,0.001,9,17,27
4,7565,6109,9412,16002,7159,9787,56034,8,1,0,1,2,0,12,2766,2256,745,1884,1587,903,1104,681,71,775,450,79,2,1,1,0,9,17,37
5,7698,6067,9557,16042,7214,9554,56132,13,0,1,6,1,1,22,2896,2211,768,1943,1594,859,1119,670,71,762,491,92,7,3,1,0.001,12,17,58
6,7742,6117,9728,15989,7136,9613,56325,20,0,0,3,0,5,28,2830,2284,812,1933,1614,834,1116,658,58,785,493,75,6,0,1,0,17,17,80
7,7809,6122,9618,16002,7174,9657,56382,18,3,0,7,5,2,35,2923,2276,762,1897,1563,936,1122,684,76,701,453,99,10,2,1,0.001,20,17,108
8,7836,6124,9601,16055,7131,9624,56371,21,0,5,12,1,5,44,2938,2214,745,1891,1528,869,1202,629,90,745,446,81,14,4,1,0.001,17,17,139
9,7892,6165,9583,16103,7144,9771,56658,16,0,3,12,2,7,40,2931,2318,765,1903,1601,914,1154,713,81,731,471,91,7,6,1,0.002,17,17,178
10,7853,6124,9748,16120,7200,9476,56521,18,4,3,21,7,8,61,2912,2257,754,1872,1564,875,1196,641,75,709,472,76,17,5,1,0.002,31,17,242
11,7881,6285,9468,16135,7028,9719,56516,20,1,9,27,13,6,76,2868,2275,745,1961,1577,866,1154,687,81,828,481,85,17,5,1,0.002,39,17,313
12,8003,6079,9695,16048,7233,9629,56687,22,12,7,42,10,18,111,2939,2178,764,1858,1596,880,1190,654,74,698,507,86,16,8,1,0.002,52,63.8,419
13,7971,6161,9684,16161,7097,9592,56666,52,16,16,66,18,23,191,2903,2328,746,1906,1588,866,1205,671,71,745,467,88,37,19,1,0.006,78,64.1,611
14,7894,6200,9650,15912,7142,9631,56429,89,27,26,99,26,32,299,3020,2322,805,1874,1608,892,1185,706,82,727,482,93,57,22,1,0.007,118,65.2,904
15,7777,6097,9330,15973,7150,9516,55843,148,32,53,171,41,59,504,2912,2253,756,1850,1585,846,1174,672,81,744,472,97,106,38,1,0.012,159,65.2,1370
16,7724,5904,9595,16067,7107,9569,55966,193,45,52,235,76,83,684,2811,2226,733,1937,1534,860,1156,673,74,804,479,98,148,57,1,0.017,214,65.2,2028
17,7639,6125,9600,16010,7136,9446,55956,199,87,96,336,112,130,960,2829,2325,751,1922,1584,825,1142,693,72,790,497,79,183,59,1,0.018,291,66.3,2928
18,7591,6083,9514,15958,6999,9467,55612,308,132,134,515,153,157,1399,2795,2250,774,1898,1519,894,1154,675,74,740,476,84,284,97,1,0.03,401,70,4269
19,7639,6035,9450,15744,6912,9528,55308,449,137,195,639,166,219,1805,2843,2202,752,1813,1511,873,1134,637,78,701,428,96,376,129,1,0.042,460,70,6027
20,7565,5984,9290,15481,6996,9333,54649,508,229,228,741,220,237,2163,2776,2201,742,1790,1523,815,1135,638,69,722,466,76,420,134,1,0.043,574,71.6,8129
21,7423,5910,9300,15421,6877,9133,54064,661,264,276,901,273,321,2696,2783,2198,767,1836,1508,814,1107,665,69,712,463,93,600,225,1,0.072,709,87,10758
22,7309,5806,8944,15162,6585,9132,52938,693,296,309,1014,292,355,2959,2705,2171,705,1834,1394,838,1092,629,69,756,435,86,631,209,1,0.068,799,87.5,13564
23,7150,5538,8819,14681,6564,8839,51591,756,285,322,1086,319,430,3198,2519,2097,684,1753,1491,805,1006,653,66,731,427,82,652,227,1,0.077,919,87.5,16684
24,6969,5576,8448,14246,6440,8554,50233,810,360,398,1223,393,444,3628,2527,2028,679,1711,1433,743,987,590,58,685,432,51,687,233,1,0.083,1063,87.5,20149
25,6828,5202,8250,13823,6198,8417,48718,994,383,418,1423,440,524,4182,2554,1934,657,1618,1378,759,1000,605,74,676,403,86,885,280,1,0.098,1254,87.5,24174
1,6718,6003,9646,15879,7073,9595,54914,0,0,1,1,0,0,2,2443,2297,801,1868,1537,896,993,675,73,768,503,89,0,0,0,0,1,0,1
2,7045,6126,9794,15814,7098,9400,55277,0,0,0,2,0,0,2,2594,2277,783,1761,1555,839,1024,720,93,679,427,82,0,0,0,0,2,1.4,2
3,7414,6297,9283,15710,6981,9460,55145,0,2,3,3,1,0,9,2728,2376,768,1827,1610,881,1064,740,77,715,493,98,0,0,0,0,5,2.2,12
4,7644,5933,9408,15809,6994,9498,55286,3,4,1,4,1,2,15,2800,2187,773,1844,1531,804,1094,655,79,768,457,78,5,2,1,0.001,8,16,25
5,7688,5961,9287,15839,7096,9636,55507,6,2,1,6,0,1,16,2834,2211,755,1868,1564,876,1107,661,82,756,493,88,6,2,1,0.001,8,16,39
6,7727,5944,9617,15884,7169,9534,55875,7,3,1,7,1,4,23,2781,2185,734,1928,1552,838,1160,700,80,774,462,80,4,3,1,0.001,10,16,64
7,7755,6120,9514,15992,7114,9556,56051,7,1,2,13,5,7,35,2851,2234,769,1925,1631,863,1167,676,79,767,513,81,4,1,1,0,11,22,94
8,7840,6106,9457,15916,7034,9548,55901,10,6,8,18,4,10,56,2924,2281,753,1891,1529,850,1090,691,87,740,444,80,8,4,1,0.001,20,22,154
9,7799,6018,9486,15910,7091,9466,55770,21,12,7,27,4,7,78,2916,2263,755,1909,1528,827,1170,647,82,735,444,85,20,4,1,0.001,35,31.6,222
10,7702,6078,9419,15914,7030,9526,55669,23,9,2,31,8,13,86,2806,2241,770,1897,1599,865,1115,667,78,789,496,90,20,7,1,0.002,38,40.5,296
11,7753,6023,9479,15967,7009,9479,55710,32,10,17,40,20,21,140,2905,2216,780,1909,1487,890,1167,661,89,749,448,87,27,6,1,0.002,61,40.5,435
12,7717,6080,9505,15929,6994,9566,55791,50,18,19,68,21,19,195,2843,2286,739,1834,1552,849,1158,678,70,745,464,79,38,9,1,0.003,84,40.5,610
13,7723,6073,9550,15910,7180,9632,56068,65,30,30,103,24,29,281,2829,2234,769,1870,1566,858,1132,652,71,707,459,88,60,28,1,0.009,115,40.5,873
14,7768,6076,9690,16060,7171,9515,56280,105,39,37,121,40,55,397,2988,2232,786,1898,1582,878,1162,680,72,765,454,83,89,28,1,0.009,163,40.5,1272
15,7679,6173,9515,16161,7042,9463,56033,175,47,54,182,57,51,566,2906,2320,731,1925,1523,844,1172,721,77,729,462,82,139,49,1,0.015,232,40.5,1783
16,7662,6093,9593,16132,6938,9551,55969,203,50,82,269,69,93,766,2832,2284,719,1952,1555,840,1136,686,83,810,460,76,144,53,1,0.016,296,43.7,2512
17,7615,6172,9372,15754,7049,9458,55420,236,124,98,375,125,123,1081,2773,2240,792,1887,1535,871,1087,669,76,769,452,95,230,69,1,0.022,436,44,3515
18,7739,5937,9411,15608,7018,9341,55054,375,128,142,520,158,174,1497,2859,2246,751,1923,1512,865,1100,639,74,733,456,94,331,107,1,0.035,576,44.9,4944
19,7574,5948,9311,15542,6810,9320,54505,515,170,226,739,229,265,2144,2856,2126,732,1897,1536,805,1153,654,83,766,409,69,434,146,1,0.047,770,58.2,7004
20,7443,5888,9082,15189,6853,9152,53607,696,274,281,1012,322,362,2947,2784,2136,773,1840,1510,831,1080,656,89,704,455,90,625,191,1,0.062,1036,58.2,9760
21,7355,5590,8900,14834,6631,8938,52248,901,354,351,1300,383,468,3757,2690,2048,738,1743,1459,820,1039,637,92,694,415,83,783,246,1,0.083,1292,66.6,13317
22,7062,5472,8766,14428,6397,8559,50684,1073,418,503,1574,534,577,4679,2691,2008,714,1736,1444,777,1117,585,87,698,428,83,930,320,1,0.107,1525,66.6,17806
23,6627,5408,8372,13771,6105,8155,48438,1266,577,568,1967,627,711,5716,2430,1996,651,1598,1390,714,981,606,70,660,390,63,1136,395,1,0.143,1817,72.1,23207
24,6380,5120,7787,12942,5755,7937,45921,1583,666,681,2329,711,844,6814,2356,1892,624,1559,1323,664,925,583,64,636,406,65,1427,485,1,0.181,2065,73.1,29662
25,5983,4741,7292,12020,5564,7315,42915,1677,694,801,2663,836,947,7618,2170,1765,581,1432,1162,642,881,502,56,599,368,61,1484,509,1,0.206,2170,74.4,36864
1,6772,5964,9412,15808,7108,9693,54757,0,1,0,1,0,0,2,2552,2221,784,1852,1555,836,1024,686,62,766,462,87,1,0,0,0,1,0,1
2,7071,5992,9423,15744,7176,9595,55001,0,0,0,2,1,0,3,2632,2210,749,1817,1504,847,1056,677,89,731,441,97,1,1,1,0,1,3.2,3
3,7349,6001,9662,15789,7147,9552,55500,0,0,0,4,1,0,5,2660,2250,805,1877,1503,902,1049,635,75,742,454,101,0,0,1,0,4,3.2,10
4,7582,6159,9550,15952,7008,9576,55827,1,1,2,9,3,6,22,2758,2303,737,1929,1512,831,1106,718,75,767,440,69,4,2,1,0.001,7,3.2,30
5,7744,6112,9498,15923,7089,9580,55946,4,3,1,13,4,2,27,2937,2237,763,1901,1563,858,1193,686,74,758,468,79,6,3,1,0.001,12,20,51
6,7753,6020,9635,15979,7121,9595,56103,8,3,5,12,3,3,34,2859,2180,792,1888,1572,885,1141,661,90,794,464,81,9,3,1,0.001,19,20,83
7,7807,6133,9547,16006,7138,9567,56198,20,6,3,13,8,8,58,2820,2325,754,1871,1583,809,1148,673,83,748,486,80,14,5,1,0.002,29,21.1,140
8,7844,6098,9691,16082,7153,9419,56287,28,7,9,29,12,11,96,2884,2294,797,1924,1619,827,1120,688,65,748,486,78,21,9,1,0.003,40,33.2,230
9,7828,6150,9682,16086,7009,9720,56475,42,12,15,53,24,23,169,2859,2316,796,1928,1570,964,1138,683,75,791,492,114,40,12,1,0.004,66,35.1,392
10,7879,6181,9504,15947,7133,9606,56250,46,32,17,89,22,26,232,2936,2203,748,1901,1607,895,1161,638,88,744,500,90,41,11,1,0.003,96,36.7,615
11,7946,6000,9510,15977,7102,9643,56178,118,29,35,121,27,44,374,2877,2204,792,1979,1590,885,1157,641,78,816,474,77,87,28,1,0.009,147,49.6,978
12,7888,6029,9314,15947,7151,9485,55814,145,44,42,165,51,52,499,2937,2233,738,1913,1586,881,1176,698,74,763,470,80,104,41,1,0.013,210,54.6,1434
13,7779,5946,9505,15893,7065,9520,55708,188,35,64,206,72,87,652,2849,2227,756,1914,1603,872,1155,677,79,759,485,87,155,52,1,0.016,248,54.6,2044
14,7645,6135,9466,15815,7054,9494,55609,184,63,79,258,87,93,764,2857,2258,740,1815,1502,869,1138,654,61,732,451,87,167,68,1,0.022,300,55.9,2775
15,7689,6067,9554,15964,7036,9658,55968,235,93,103,361,97,136,1025,2831,2236,749,1847,1558,851,1131,676,76,744,459,77,196,72,1,0.023,387,55.9,3779
16,7685,6090,9475,15906,7117,9415,55688,346,127,131,508,142,169,1423,2891,2259,739,1908,1576,882,1167,663,83,754,471,80,273,99,1,0.031,506,62.6,5141
17,7610,6018,9391,15690,6923,9486,55118,428,159,194,649,191,213,1834,2771,2250,742,1842,1550,844,1156,671,75,698,465,83,351,135,1,0.043,641,63.1,6889
18,7586,5922,9294,15428,6909,9243,54382,549,213,243,816,228,262,2311,2788,2191,689,1814,1534,841,1092,617,69,689,447,80,465,160,1,0.053,785,63.1,9082
19,7477,5935,9086,15194,6727,9095,53514,693,266,293,1039,311,372,2974,2800,2247,738,1809,1488,798,1082,677,61,735,457,70,575,204,1,0.066,1014,67.2,11995
20,7230,5715,8922,14732,6633,8771,52003,893,304,399,1312,381,453,3742,2699,2131,695,1737,1440,753,1071,616,78,681,472,69,749,260,1,0.087,1204,68,15559
21,6967,5545,8526,14168,6336,8588,50130,1043,438,405,1582,517,578,4563,2520,2081,688,1670,1382,792,1003,588,78,669,422,67,931,318,1,0.112,1461,70.2,19958
22,6703,5168,8141,13582,6107,8298,47999,1286,467,525,1890,560,681,5409,2459,1980,674,1569,1309,738,997,619,67,622,388,62,1050,368,1,0.134,1712,70.2,25064
23,6194,5009,7717,12909,5916,7716,45461,1371,591,629,2104,647,770,6112,2285,1880,598,1525,1255,697,912,565,72,614,378,60,1227,407,1,0.156,1872,70.2,30939
24,5799,4696,7359,12288,5370,7359,42871,1498,671,742,2403,689,801,6804,2174,1722,621,1475,1166,686,875,525,61,580,334,52,1428,471,1,0.194,2076,80.6,37496
25,5425,4272,6712,11289,5127,6852,39677,1598,686,778,2545,823,907,7337,2004,1624,543,1340,1100,640,768,497,48,530,306,66,1531,491,1,0.222,2153,87.9,44635
1,6743,5997,9510,15829,7094,9537,54710,0,0,1,0,0,0,1,2537,2201,815,1856,1562,876,1029,662,73,786,438,96,1,0,0,0,0,0,0
1,6723,6010,9561,15889,7116,9711,55010,0,0,1,1,0,1,3,2472,2291,769,1892,1570,893,973,658,73,729,472,91,1,0,0,0,1,0,2
2,7133,6106,9424,15765,7213,9563,55204,0,0,0,2,0,0,2,2659,2292,750,1891,1639,883,1076,673,72,739,469,70,0,0,0,0,1,3.6,3
3,7359,5990,9575,15788,7152,9414,55278,0,1,0,1,1,0,3,2750,2186,777,1867,1474,819,1103,640,74,732,435,101,1,0,0,0,2,3.6,8
4,7476,6132,9583,16025,6983,9478,55677,2,2,1,4,0,0,9,2805,2318,726,1937,1532,897,1156,653,68,767,462,81,1,0,0,0,7,4.5,18
5,7552,6058,9706,15979,6977,9508,55780,4,0,0,4,0,1,9,2847,2324,755,1958,1572,814,1198,709,88,781,458,78,2,1,1,0,6,22.8,30
6,7513,6229,9430,15772,7085,9511,55540,5,3,1,8,4,0,21,2766,2282,739,1826,1518,881,1105,679,78,722,471,82,2,0,1,0,14,24.8,52
7,7709,6019,9575,15948,7127,9484,55862,22,1,4,12,1,6,46,2881,2240,788,1866,1563,882,1163,661,83,712,439,83,13,3,1,0.001,19,62.4,91
8,7675,6101,9710,16050,6955,9699,56190,25,7,5,19,6,7,69,2804,2262,797,1872,1448,875,1134,691,72,731,433,81,21,6,1,0.002,30,62.4,155
9,7752,6131,9767,16125,7163,9665,56603,26,7,7,30,10,9,89,2828,2358,775,1848,1523,915,1127,712,72,728,428,93,21,7,1,0.002,43,62.4,241
10,7758,6254,9696,16031,7136,9424,56299,37,10,14,44,8,11,124,2945,2303,715,1931,1519,871,1177,675,50,744,437,79,21,5,1,0.002,59,62.4,359
11,7858,6192,9625,16146,6975,9636,56432,61,15,14,59,22,31,202,2878,2251,771,1893,1484,919,1159,679,83,770,437,87,46,15,1,0.005,84,62.4,545
12,7908,6091,9566,16097,7144,9679,56485,76,24,25,81,33,40,279,2926,2224,751,1924,1569,833,1140,702,83,775,465,84,44,10,1,0.003,113,62.4,809
13,7826,6093,9675,16099,7204,9636,56533,107,32,24,104,32,46,345,2908,2232,786,1960,1569,816,1236,691,73,811,428,90,80,34,1,0.01,143,62.4,1123
14,7746,6165,9580,16116,7180,9597,56384,134,30,37,164,52,56,473,2856,2314,751,1848,1522,834,1079,684,66,739,465,80,100,33,1,0.011,188,62.4,1587
15,7766,6069,9726,16271,7165,9719,56716,149,55,88,248,66,86,692,2872,2226,783,2004,1580,860,1157,668,84,797,451,89,147,54,1,0.017,239,62.4,2253
16,7750,6236,9769,16263,7244,9822,57084,216,89,103,352,100,119,979,2849,2331,781,1924,1571,919,1135,687,59,767,430,102,179,64,1,0.02,325,62.4,3166
17,7806,6228,9743,16154,7199,9517,56647,335,125,133,476,151,153,1373,2916,2367,765,1815,1641,837,1179,696,82,723,510,84,300,107,1,0.033,428,62.4,4490
18,7727,6179,9605,15930,7039,9554,56034,463,158,185,634,178,206,1824,2847,2301,742,1844,1553,872,1135,676,76,783,475,67,347,129,1,0.04,558,62.4,6219
19,7651,6111,9275,15798,7088,9467,55390,569,208,222,825,239,250,2313,2785,2193,749,1863,1557,855,1093,671,66,739,468,92,486,172,1,0.055,692,62.4,8414
20,7654,5779,9488,15577,6891,9392,54781,694,274,286,959,272,345,2830,2856,2125,789,1865,1546,810,1167,646,68,776,463,71,609,222,1,0.07,844,66.8,11117
21,7362,5892,9015,15188,6914,9085,53456,820,302,330,1140,399,375,3366,2640,2175,736,1787,1547,814,1007,659,60,708,449,72,667,246,1,0.083,959,66.8,14311
22,7262,5570,8911,14828,6587,8929,52087,923,334,441,1371,397,500,3966,2600,2040,740,1782,1522,824,1053,602,62,733,493,90,832,294,1,0.097,1124,66.8,18124
23,6950,5459,8499,14103,6390,8430,49831,984,403,463,1454,491,494,4289,2569,1981,687,1633,1411,758,1054,620,74,685,418,74,902,296,1,0.101,1295,66.8,22279
24,6687,5215,8123,13637,6028,8173,47863,1134,428,483,1549,465,558,4617,2451,1930,668,1632,1285,656,955,561,62,672,393,67,950,333,1,0.123,1414,67.9,26754
25,6314,4992,7837,13001,5934,8011,46089,1217,524,517,1658,531,662,5109,2343,1820,602,1612,1300,741,915,532,63,645,420,69,1027,335,1,0.127,1592,67.9,31589
1,6792,5997,9259,15843,7036,9686,54613,0,0,0,1,0,0,1,2521,2192,757,1866,1526,836,991,639,65,787,450,71,0,0,0,0,1,0,1
2,7222,5957,9423,15631,7302,9603,55138,1,0,2,1,1,0,5,2742,2172,758,1816,1624,859,1082,688,91,710,492,79,1,1,1,0,1,1,5
3,7350,6008,9522,15664,7137,9354,55035,0,0,0,2,0,1,3,2743,2204,796,1832,1617,829,1129,692,84,753,471,77,1,0,1,0,1,1,8
4,7501,6002,9459,15899,6936,9626,55423,0,0,0,3,0,1,4,2785,2192,708,1865,1480,872,1146,678,73,769,433,97,0,0,1,0,2,2.8,12
5,7609,6063,9498,15763,7103,9576,55612,0,1,1,6,1,2,11,2799,2238,742,1900,1608,833,1106,663,75,738,499,77,1,1,1,0,4,4.1,23
6,7690,6130,9615,15795,7120,9254,55604,4,0,1,4,3,1,13,2815,2224,778,1838,1517,826,1133,652,88,721,447,91,5,3,1,0.001,5,17.2,38
7,7869,6133,9333,15872,6957,9681,55845,6,3,0,9,4,5,27,2855,2320,743,1867,1522,875,1126,654,70,752,445,95,4,2,1,0.001,13,17.2,62
8,7925,5991,9536,15964,7148,9437,56001,11,3,6,20,3,7,50,2890,2255,716,1898,1567,807,1187,654,65,719,481,79,10,5,1,0.002,19,17.2,113
9,7853,6155,9595,15854,7021,9582,56060,21,6,9,27,6,8,77,2891,2237,785,1825,1535,906,1119,679,80,729,457,101,14,2,1,0.001,26,17.2,183
10,7915,6126,9485,16044,7142,9692,56404,23,12,11,39,11,12,108,2895,2258,767,1849,1564,875,1142,653,77,734,447,75,20,5,1,0.002,42,28.6,281
11,7912,6034,9650,16147,7174,9590,56507,35,19,15,61,14,18,162,2906,2239,758,1872,1606,852,1176,673,71,731,453,83,31,10,1,0.003,61,28.6,430
12,7808,6171,9609,16190,7145,9847,56770,52,24,29,70,38,27,240,2914,2277,748,1849,1587,825,1173,675,86,727,503,85,53,19,1,0.006,94,29.8,667
13,7816,6088,9727,15944,7341,9492,56408,106,39,23,87,36,38,329,2906,2295,814,1782,1654,810,1151,705,79,711,487,77,71,22,1,0.007,145,30.8,991
14,7794,6127,9489,16153,7038,9698,56299,186,41,34,135,47,51,494,2873,2229,774,1925,1548,878,1214,704,82,785,474,77,110,35,1,0.01,195,40,1448
15,7825,6057,9618,16021,7205,9611,56337,214,39,58,208,53,49,621,2931,2231,813,1901,1550,862,1170,643,81,725,499,77,140,55,1,0.017,255,49.7,2004
16,7708,6075,9751,16020,7153,9461,56168,218,68,69,240,73,86,754,2823,2253,802,1850,1568,887,1121,645,97,699,472,90,147,51,1,0.016,316,49.7,2726
17,7637,6278,9586,16134,6972,9578,56185,279,100,86,348,107,112,1032,2831,2330,775,1985,1572,890,1138,685,81,813,475,91,239,70,1,0.021,427,49.7,3693
18,7715,6170,9488,15816,7060,9384,55633,387,119,120,485,153,178,1442,2889,2369,773,1883,1535,887,1132,743,76,754,434,83,304,102,1,0.032,557,49.7,5026
19,7607,6005,9431,15712,6881,9528,55164,542,178,183,677,192,223,1995,2797,2232,745,1790,1517,818,1111,652,89,723,454,72,423,139,1,0.045,759,49.7,6918
20,7489,5996,9202,15498,6992,9340,54517,723,256,251,894,307,319,2750,2757,2191,734,1880,1503,802,1081,663,90,724,450,71,599,200,1,0.065,996,57.6,9530
21,7383,5798,9165,15325,6848,9161,53680,921,335,376,1206,385,440,3663,2745,2155,690,1790,1513,803,1050,668,67,718,456,87,745,236,1,0.077,1258,60,12960
22,7148,5758,8750,14983,6611,9063,52313,1123,418,439,1560,450,559,4549,2676,2092,697,1777,1497,816,1041,648,70,752,475,76,989,327,1,0.107,1516,60,17281
23,6874,5437,8540,14379,6506,8686,50422,1279,502,513,1927,635,662,5518,2497,1975,694,1834,1512,782,1041,570,71,736,438,94,1138,394,1,0.134,1793,60,22548
24,6656,5238,8128,13512,6240,8203,47977,1582,650,750,2348,721,771,6822,2428,1983,623,1555,1404,731,957,590,71,625,407,78,1366,441,1,0.162,2094,60.7,28995
25,6174,4914,7694,12764,5755,7721,45022,1771,788,819,2786,836,989,7989,2257,1772,594,1514,1301,708,918,508,49,606,380,62,1582,554,1,0.22,2297,60.7,36637
1,6745,6046,9589,15783,7074,9474,54711,0,0,1,1,0,1,3,2506,2196,721,1893,1580,847,1008,632,82,733,468,76,0,0,0,0,1,0,2
2,7243,6088,9403,15701,7050,9523,55008,0,0,1,5,1,0,7,2730,2212,761,1780,1544,902,1091,653,82,724,452,87,0,0,0,0,5,2.8,9
3,7488,5956,9439,15696,7027,9302,54908,1,0,0,4,0,2,7,2765,2191,751,1875,1564,793,1059,670,72,751,476,68,0,0,0,0,4,5,18
4,7535,6028,9394,15645,6912,9515,55029,2,1,1,4,1,1,10,2784,2271,750,1787,1526,891,1130,672,97,723,446,89,2,1,1,0,5,5.1,29
5,7580,6080,9438,15703,7026,9508,55335,1,2,5,2,1,0,11,2788,2220,738,1905,1551,851,1114,650,83,759,472,83,3,1,1,0,5,6.3,39
6,7747,5957,9425,15908,7138,9496,55671,7,0,1,2,1,0,11,2895,2214,713,1841,1505,846,1176,663,69,719,404,77,1,0,1,0,7,12.5,51
7,7720,6076,9590,16083,7079,9544,56092,4,0,2,1,0,0,7,2878,2275,779,1903,1568,860,1172,675,67,777,458,85,2,1,1,0,3,12.5,55
8,7723,6083,9529,16009,7108,9668,56120,0,1,0,0,0,0,1,2809,2235,777,1830,1564,890,1124,670,59,736,468,96,0,0,1,0,1,12.5,55
1,6722,6035,9552,15880,7070,9586,54845,0,0,1,0,1,0,2,2446,2198,791,1908,1539,933,1017,630,67,766,458,90,0,0,0,0,1,0,1
2,7268,6101,9494,15744,7058,9444,55109,0,1,0,2,0,0,3,2705,2258,795,1856,1513,858,1089,679,81,713,481,81,0,0,0,0,3,4.2,5
3,7475,6106,9691,15776,6971,9543,55562,3,0,0,2,2,0,7,2751,2291,766,1861,1544,858,1056,688,82,738,512,79,1,0,0,0,5,5.1,12
4,7693,6207,9470,15831,7088,9312,55601,7,1,2,10,1,6,27,2896,2298,753,1894,1498,788,1152,646,67,782,455,81,6,3,1,0.001,10,5.1,36
5,7775,6025,9361,15864,6892,9413,55330,10,8,1,15,8,5,47,2918,2241,731,1837,1530,828,1170,679,69,757,466,80,11,3,1,0.001,27,11.7,75
6,7630,6057,9548,15929,7055,9350,55569,26,7,7,24,1,6,71,2850,2172,774,1888,1531,903,1103,646,79,777,446,91,11,3,1,0.001,34,29.4,138
7,7739,6045,9555,15944,6929,9542,55754,38,12,5,31,10,14,110,2877,2245,766,1898,1515,843,1130,697,62,735,448,63,27,17,1,0.005,53,31.1,238
8,7677,6142,9566,15901,7042,9398,55726,44,13,13,57,13,15,155,2860,2322,767,1862,1618,844,1167,675,77,768,487,90,29,10,1,0.003,74,31.1,371
9,7681,5995,9559,15844,6982,9589,55650,66,10,32,91,25,31,255,2915,2188,777,1900,1526,886,1180,646,68,744,453,90,54,20,1,0.006,115,33.1,604
10,7606,6048,9457,15837,7143,9555,55646,84,49,30,124,40,39,366,2841,2199,777,1970,1476,840,1118,670,79,786,451,80,70,28,1,0.009,174,41,955
11,7729,6025,9625,15789,7019,9576,55763,159,45,58,202,68,70,602,2876,2182,787,1892,1564,838,1136,664,72,741,505,84,133,49,1,0.015,250,62.2,1532
12,7662,6057,9492,15789,7075,9521,55596,200,90,68,284,92,88,822,2871,2251,752,1841,1583,833,1171,655,60,731,490,97,179,58,1,0.018,334,62.2,2328
13,7565,6076,9456,15891,7071,9562,55621,296,79,102,415,99,133,1124,2775,2214,772,1908,1523,881,1123,653,77,756,461,101,244,87,1,0.027,443,62.2,3395
14,7669,5996,9593,15815,7048,9358,55479,391,143,140,530,159,178,1541,2811,2265,762,1898,1570,851,1151,645,72,782,486,75,329,112,1,0.035,596,62.2,4851
15,7532,6120,9457,15765,6847,9522,55243,517,187,207,767,242,264,2184,2767,2293,711,1817,1539,864,1095,733,68,738,477,99,441,147,1,0.046,788,62.2,6915
16,7497,5969,9317,15358,6950,9159,54250,700,282,310,1011,303,374,2980,2836,2205,715,1856,1529,831,1141,664,74,716,472,84,586,212,1,0.067,1022,62.2,9741
17,7305,5907,9006,15126,6657,9057,53058,973,380,331,1340,411,463,3898,2698,2186,765,1762,1443,843,1095,628,75,699,434,99,838,270,1,0.089,1275,69.6,13391
18,7145,5592,8834,14622,6490,8781,51464,1203,424,496,1669,510,589,4891,2641,2096,724,1719,1466,818,1093,634,66,698,451,67,1043,363,1,0.121,1586,71.8,18117
19,6806,5436,8394,14025,6236,8476,49373,1395,547,600,2024,621,698,5885,2513,2015,653,1635,1374,770,992,600,63,635,415,78,1260,426,1,0.153,1865,72.1,23734
20,6490,5090,8129,13324,5980,7965,46978,1558,641,731,2365,719,855,6869,2305,1864,683,1573,1275,688,960,549,66,629,397,65,1363,481,1,0.18,2085,72.9,30353
21,6062,4871,7412,12477,5580,7642,44044,1705,733,826,2683,846,930,7723,2259,1840,576,1459,1229,656,891,549,65,596,367,66,1587,529,1,0.209,2260,74.3,37854
22,5565,4401,6975,11303,5301,6909,40454,1777,814,967,2896,930,1071,8455,2076,1619,549,1278,1178,639,823,487,55,515,340,52,1661,554,1,0.244,2335,74.3,46007
23,4963,4076,6154,10340,4606,6253,36392,1764,827,954,3130,959,1132,8766,1879,1504,482,1204,1033,517,777,473,54,469,310,61,1795,646,1,0.301,2385,74.3,54570
24,4403,3567,5390,8939,4154,5460,31913,1642,875,994,2958,889,1131,8489,1622,1307,417,1087,934,500,677,392,46,455,275,53,1716,600,1,0.316,2276,75.3,62950
