Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans
1,6714,5955,9463,15816,7043,9550,54541,0,0,0,0,0,0,0,2560,2813,764,1866,1552,868,1030,896,72,772,492,84,0,0,0,0,0,0,0
1,6740,5922,9519,15893,7154,9533,54761,0,1,0,0,0,0,1,2474,2748,832,1843,1602,872,976,810,91,726,492,100,0,0,0,0,1,0,0
2,6590,6052,9536,15755,7067,9404,54404,5,0,0,0,0,0,5,2397,2805,694,1927,1520,856,961,831,75,786,473,84,4,4,1,0.001,1,3.6,5
3,6662,6221,9431,15634,7020,9410,54378,3,0,0,0,1,0,4,2537,2938,698,1778,1506,808,1005,879,76,703,455,87,0,0,1,0,2,3.6,8
4,6624,6028,9434,15793,6928,9403,54210,5,0,0,1,1,0,7,2465,2784,796,1864,1548,833,951,811,73,731,456,88,1,0,1,0,4,3.6,12
5,6568,6006,9388,15684,7005,9434,54085,8,1,3,7,1,1,21,2380,2840,735,1783,1539,819,956,907,69,723,485,76,7,2,1,0.001,7,5.1,34
6,6548,6025,9379,15829,7023,9409,54213,8,5,4,11,2,3,33,2451,2798,745,1863,1595,870,997,857,72,757,470,97,8,1,1,0,12,35.8,63
7,6566,6016,9415,15699,6975,9448,54119,15,1,5,10,6,8,45,2486,2756,746,1866,1536,852,1044,833,66,705,500,79,7,4,1,0.001,22,35.8,108
8,6557,5981,9487,15716,6992,9357,54090,18,6,4,23,6,3,60,2384,2778,727,1848,1513,865,942,827,75,720,465,87,17,4,1,0.001,26,35.8,162
9,6555,6114,9481,15891,7006,9503,54550,25,2,11,26,7,14,85,2450,2827,735,1828,1536,857,939,838,81,712,462,77,12,3,1,0.001,32,35.8,239
10,6537,6101,9629,15874,7031,9469,54641,22,11,12,46,13,12,116,2416,2837,795,1879,1554,869,932,815,73,758,465,84,20,5,1,0.002,48,35.8,347
11,6588,6150,9329,15880,6987,9568,54502,46,14,20,86,19,34,219,2439,2849,734,1878,1484,876,997,840,72,711,436,90,44,14,1,0.004,88,46,568
12,6624,5920,9448,15769,7121,9544,54426,69,21,30,106,37,44,307,2448,2836,754,1880,1600,845,989,879,73,743,451,93,59,13,1,0.004,111,46,847
13,6470,6069,9365,15610,7056,9283,53853,88,44,42,167,45,51,437,2412,2047,732,1858,1524,863,934,641,68,757,457,85,99,39,1,0.013,164,46,1259
14,7183,6050,9527,15695,6867,9341,54663,140,63,51,204,62,73,593,2741,2089,768,1874,1536,811,1128,619,74,761,435,95,126,34,1,0.011,232,46,1816
15,7423,6058,9444,15411,6895,9309,54540,234,60,65,250,67,89,765,2740,1975,767,1869,1521,809,1136,590,90,773,448,90,166,72,1,0.023,311,50,2535
16,7741,5999,9205,15390,6925,9170,54430,305,74,90,343,109,116,1037,2872,1951,795,1881,1450,788,1140,571,86,757,420,63,226,78,1,0.026,400,50,3517
17,7896,5830,9323,15338,6732,9176,54295,438,99,130,499,137,181,1484,2867,1911,691,1790,1482,810,1118,600,72,727,471,80,274,101,1,0.033,551,50.7,4926
18,7862,5961,9111,15156,6694,9102,53886,535,160,200,691,233,255,2074,2863,1940,746,1773,1499,798,1177,575,87,723,458,82,415,138,1,0.044,727,50.7,6870
19,7876,5663,9007,14936,6746,8901,53129,668,233,285,966,283,338,2773,2900,1866,742,1747,1492,831,1155,561,61,698,447,93,559,191,1,0.063,918,50.7,9560
20,7645,5637,8702,14731,6477,8789,51981,865,316,373,1295,372,486,3707,2777,1875,675,1742,1467,802,1112,575,71,705,454,67,690,241,1,0.081,1136,56,13075
21,7455,5433,8535,14218,6387,8477,50505,1088,426,429,1614,496,568,4621,2779,1799,705,1728,1376,750,1107,578,72,676,386,82,974,333,1,0.115,1305,56,17544
22,7082,5270,8167,13722,6016,8312,48569,1254,503,591,1983,545,744,5620,2629,1679,622,1585,1328,803,1065,502,82,645,394,71,1082,396,1,0.144,1508,62,22974
23,6784,5014,7815,12949,5811,7842,46215,1461,646,659,2175,679,806,6426,2463,1661,643,1533,1330,694,964,502,62,630,413,62,1258,425,1,0.161,1688,63.2,29255
24,6298,4683,7351,11942,5496,7310,43080,1621,616,735,2335,753,867,6927,2314,1560,612,1398,1246,666,921,478,57,533,355,67,1421,474,1,0.197,1821,63.2,35932
25,5748,4335,6713,11088,5016,6636,39536,1552,614,752,2324,739,913,6894,2105,1483,545,1344,1136,575,804,434,57,537,326,59,1375,419,1,0.189,1817,64.3,42551
1,6696,5981,9550,15832,7036,9547,54642,0,0,1,1,0,0,2,2463,2773,728,1756,1602,863,1027,835,82,684,500,88,0,0,0,0,1,0,1
2,6622,6124,9455,15878,7115,9564,54758,0,0,2,1,0,0,3,2443,2904,761,1924,1618,872,971,875,76,753,476,97,0,0,0,0,1,3,3
1,6745,5996,9476,15771,7076,9364,54428,0,0,1,1,0,0,2,2479,2807,749,1877,1572,849,999,913,77,769,514,76,0,0,0,0,1,0,2
2,6671,6066,9365,15646,6926,9325,53999,0,0,0,2,0,0,2,2441,2840,786,1798,1538,896,973,907,87,741,455,82,0,0,0,0,2,2,3
3,6703,5910,9377,15633,6837,9387,53847,0,0,0,0,1,0,1,2517,2688,776,1762,1473,854,1011,816,82,755,443,85,0,0,0,0,1,2,4
4,6613,5955,9477,15690,7002,9323,54060,0,0,1,3,0,0,4,2460,2799,660,1825,1534,871,975,884,63,715,452,90,1,1,1,0,2,2,10
5,6530,6056,9300,15572,6925,9435,53818,0,0,0,4,0,0,4,2408,2859,727,1858,1513,855,958,879,67,727,439,90,0,0,1,0,3,3,14
6,6557,5953,9333,15680,6996,9509,54028,1,2,2,4,2,2,13,2435,2787,732,1865,1579,875,950,842,71,754,472,79,3,0,1,0,6,25.6,29
7,6516,5973,9631,15765,7000,9509,54394,3,0,2,7,0,3,15,2447,2794,767,1836,1536,862,1025,832,72,754,441,74,0,0,1,0,10,34.8,48
8,6482,6177,9379,15892,7082,9508,54520,1,2,2,9,0,2,16,2413,2900,717,1914,1566,851,952,880,79,765,503,86,5,2,1,0.001,6,34.8,65
9,6597,5980,9341,15941,7097,9569,54525,1,2,5,6,3,0,17,2389,2812,753,1857,1615,866,953,810,75,717,474,91,4,0,1,0,7,34.8,78
10,6536,5916,9464,15886,7038,9621,54461,4,2,2,8,1,2,19,2490,2771,773,1886,1546,886,1019,847,88,758,472,89,5,2,1,0.001,8,34.8,101
11,6390,6043,9371,15905,7094,9588,54391,6,2,1,7,4,0,20,2357,2850,855,1879,1557,883,948,829,79,768,445,74,5,0,1,0,8,34.8,122
12,6456,5851,9558,15986,7091,9523,54465,7,2,4,13,2,1,29,2356,2726,829,1904,1612,890,942,793,96,748,475,82,6,1,1,0,11,37.8,148
13,6445,6056,9468,16024,7050,9619,54662,4,6,4,13,6,6,39,2409,1974,787,1950,1591,854,952,580,76,763,508,75,7,4,1,0.001,17,37.8,183
14,7282,6019,9485,15914,7119,9471,55290,5,1,9,23,5,7,50,2696,2045,715,1877,1531,851,1088,625,60,756,472,80,6,1,1,0,21,37.8,228
15,7610,6089,9591,15993,7052,9590,55925,11,8,4,25,4,8,60,2837,1981,737,1835,1521,868,1118,584,90,791,472,75,11,4,1,0.001,29,37.8,287
16,7865,6143,9610,16106,7153,9709,56586,26,8,10,29,7,9,89,2887,2076,765,1933,1594,892,1142,611,84,800,500,90,17,4,1,0.001,43,37.8,365
17,8072,6118,9627,16108,7196,9568,56689,42,6,11,48,14,8,129,2924,2040,757,1879,1574,844,1158,662,75,760,457,96,26,10,1,0.003,53,37.8,485
18,8257,6154,9596,15991,7079,9758,56835,60,7,16,79,12,30,204,2991,2019,767,1859,1575,906,1211,607,83,753,502,95,35,9,1,0.003,77,37.8,673
19,8348,6128,9524,15996,7197,9695,56888,77,21,34,91,30,32,285,3081,2035,780,1848,1599,903,1241,593,79,748,497,71,53,17,1,0.005,110,37.8,939
20,8332,6085,9513,15993,7168,9760,56851,90,33,34,135,41,38,371,3094,1979,777,1909,1536,826,1231,599,93,772,463,78,78,28,1,0.009,152,37.8,1294
21,8319,6183,9680,16098,7282,9765,57327,114,32,52,188,48,61,495,3099,1993,794,1918,1605,896,1239,574,82,782,510,92,105,43,1,0.013,183,37.8,1775
22,8359,6233,9475,16180,7160,9696,57103,163,63,80,240,86,80,712,3088,2095,758,1854,1540,850,1236,626,86,758,470,80,132,49,1,0.015,243,52.2,2468
23,8345,6024,9591,16025,7195,9694,56874,233,77,93,319,74,103,899,3117,2017,792,1931,1590,858,1239,580,71,776,492,86,175,56,1,0.017,284,63.5,3309
24,8165,6070,9558,15922,7102,9550,56367,327,112,108,402,123,139,1211,3013,2007,759,1965,1573,825,1186,624,90,796,485,91,240,84,1,0.026,389,63.5,4451
25,8089,6111,9538,15811,7058,9440,56047,393,117,169,509,176,200,1564,2949,2011,757,1892,1532,845,1192,641,74,776,473,75,308,112,1,0.035,470,63.5,5875
1,6751,5993,9416,15851,7064,9555,54630,0,0,1,0,0,0,1,2504,2817,759,1872,1530,861,1001,849,66,739,468,87,0,0,0,0,1,0,0
1,6730,6037,9667,15863,7160,9652,55109,0,0,1,1,0,1,3,2530,2828,766,1794,1595,840,956,834,85,727,482,76,2,1,1,0,1,0,2
2,6555,6168,9498,15985,7152,9563,54921,0,1,0,3,2,0,6,2478,2920,739,1859,1491,839,971,883,71,755,450,80,1,0,1,0,3,16.8,7
3,6481,6100,9620,16029,7139,9652,55021,2,0,1,6,0,1,10,2409,2810,716,1900,1550,849,981,856,89,733,443,86,2,0,1,0,4,17.5,17
4,6561,6161,9608,16061,7166,9732,55289,5,5,2,5,1,2,20,2445,2855,768,1900,1556,892,1001,858,76,767,473,107,4,0,1,0,10,18.7,37
5,6632,6098,9664,16210,7258,9724,55586,11,2,5,16,4,3,41,2458,2876,772,1979,1541,867,967,860,69,812,457,80,9,1,1,0,21,19.6,77
6,6567,6225,9519,16322,7257,9732,55622,11,7,8,15,9,7,57,2505,2945,730,1910,1610,928,994,850,67,785,499,76,9,4,1,0.001,28,31.3,134
7,6555,6118,9817,16400,7176,9677,55743,26,6,9,34,9,9,93,2445,2914,790,1899,1596,865,986,871,88,726,497,70,13,5,1,0.002,49,42.1,227
8,6500,6154,9794,16433,7167,9925,55973,47,10,16,47,10,17,147,2367,2896,758,1958,1623,895,941,876,66,799,485,90,34,12,1,0.004,63,42.1,364
9,6581,6240,9817,16321,7397,9907,56263,53,19,16,64,24,31,207,2448,3036,786,1869,1561,866,997,938,82,729,499,73,51,16,1,0.005,92,44.6,563
10,6510,6288,9711,16536,7395,9907,56347,54,23,30,94,32,28,261,2426,2897,758,1986,1635,858,959,916,72,803,479,95,52,23,1,0.007,119,46.8,811
11,6638,6302,9905,16614,7343,9979,56781,67,33,33,138,45,34,350,2483,2971,799,1928,1584,867,1039,843,96,777,483,96,80,21,1,0.006,139,54.6,1149
12,6658,6222,10064,16695,7435,10015,57089,98,49,63,195,42,65,512,2411,2878,764,1970,1693,914,932,862,68,830,476,90,94,30,1,0.009,201,58.6,1675
13,6814,6445,9901,16530,7466,9832,56988,162,79,68,236,85,76,706,2554,2202,769,1974,1670,854,1016,665,75,769,512,78,150,54,1,0.017,282,58.6,2352
14,7519,6329,9903,16509,7349,10009,57618,252,86,80,359,94,110,981,2775,2064,812,1997,1696,915,1106,614,75,809,497,89,194,65,1,0.02,404,59.8,3299
15,8015,6253,9770,16330,7392,9934,57694,388,105,120,490,165,173,1441,2939,2096,793,1930,1568,945,1202,631,69,804,484,86,303,88,1,0.027,521,59.8,4695
16,8159,6294,9925,16268,7247,9600,57493,526,156,195,730,207,217,2031,2952,2082,752,1900,1573,874,1188,655,57,772,480,87,413,148,1,0.046,734,59.8,6649
17,8338,6271,9601,16086,7050,9634,56980,728,208,244,917,281,327,2705,3090,2121,800,1854,1589,936,1220,611,98,769,450,97,601,216,1,0.067,923,60.5,9244
18,8226,6009,9613,15713,6964,9342,55867,907,299,362,1205,330,424,3527,3070,1969,748,1898,1563,887,1216,591,71,743,451,86,732,244,1,0.077,1150,62,12569
19,8004,6050,9039,15244,6721,8999,54057,1169,392,431,1443,459,491,4385,2938,1973,755,1777,1534,818,1197,584,71,687,440,65,910,292,1,0.096,1399,79.6,16689
20,7860,5590,8870,14644,6465,8780,52209,1422,491,530,1834,515,646,5438,2931,1809,698,1725,1400,759,1204,526,74,653,409,73,1123,402,1,0.137,1652,80.9,21786
21,7315,5512,8368,13793,6238,8375,49601,1650,595,632,2194,722,858,6651,2724,1818,715,1654,1352,729,1077,541,72,656,403,71,1351,464,1,0.165,1903,81.6,28213
22,6865,5062,7696,13052,5906,7903,46484,1674,702,795,2594,793,974,7532,2508,1737,598,1525,1287,732,970,524,47,605,411,65,1454,486,1,0.185,2093,81.6,35394
23,6247,4576,7097,12046,5368,7353,42687,1732,682,824,2674,842,941,7695,2329,1562,601,1398,1186,693,909,466,60,546,354,92,1520,525,1,0.216,2153,82.2,42819
24,5584,4151,6394,10806,5018,6644,38597,1594,717,850,2620,860,1008,7649,2056,1359,527,1249,1110,617,856,372,58,512,333,73,1445,467,1,0.212,2124,87.9,50312
25,5048,3718,5914,9889,4464,6050,35083,1509,730,812,2602,817,992,7462,1855,1184,475,1166,1008,514,742,343,33,483,317,59,1425,509,1,0.257,2060,90.6,57599
1,6715,5998,9460,15857,7016,9540,54586,1,0,1,0,1,0,3,2475,2832,781,1885,1562,814,981,835,72,755,487,73,1,0,0,0,1,0,2
2,6624,6038,9573,15651,7118,9332,54336,0,0,1,1,0,1,3,2430,2812,757,1832,1589,822,946,810,76,751,470,82,0,0,0,0,1,3,4
1,6731,6023,9514,15874,7144,9529,54815,0,0,1,1,1,0,3,2434,2794,719,1866,1576,865,1000,839,63,725,467,84,0,0,0,0,1,0,2
2,6695,6220,9541,15821,7013,9551,54841,0,1,0,4,2,0,7,2501,2862,767,1788,1528,842,995,864,82,741,484,90,2,0,0,0,2,15.6,9
3,6746,6099,9523,15785,7095,9442,54690,2,1,0,4,0,2,9,2497,2858,752,1834,1629,828,999,889,64,730,490,82,1,0,0,0,4,15.6,17
4,6667,6089,9371,15829,7056,9498,54510,7,1,0,4,3,2,17,2451,2838,786,1825,1581,878,1036,842,76,759,499,101,2,0,0,0,8,15.6,32
5,6687,5964,9530,15946,7099,9508,54734,8,0,2,10,3,3,26,2509,2780,767,1888,1581,845,980,843,72,792,456,78,9,5,1,0.002,9,17,51
6,6558,6068,9473,15955,7061,9525,54640,5,1,0,5,6,0,17,2406,2875,753,1855,1577,885,950,811,77,801,520,91,4,1,1,0,8,17,72
7,6576,6050,9596,16047,7101,9622,54992,6,2,2,8,3,6,27,2430,2923,797,1958,1610,853,988,937,70,784,494,80,4,1,1,0,9,17,99
8,6476,6118,9509,16041,7151,9650,54945,14,5,5,14,7,3,48,2371,2840,769,1811,1583,804,969,854,75,687,493,74,10,5,1,0.002,22,31.4,143
9,6605,6025,9661,16101,7141,9777,55310,19,3,1,22,9,9,63,2427,2779,784,1833,1559,878,990,812,69,763,466,88,10,3,1,0.001,32,31.4,196
10,6617,6172,9610,16139,7282,9601,55421,21,12,8,29,12,9,91,2396,2915,756,1933,1608,887,964,884,83,813,503,82,18,5,1,0.002,39,31.4,286
11,6661,6162,9787,16348,7099,9704,55761,38,10,9,45,13,18,133,2485,2896,717,1976,1572,892,979,871,84,772,472,81,27,10,1,0.003,56,31.4,400
12,6643,6312,9689,16197,7231,9654,55726,34,10,17,64,21,22,168,2460,3042,784,1860,1615,878,994,927,83,783,448,91,35,14,1,0.004,78,31.4,575
13,6688,6177,9883,16330,7169,9586,55833,49,20,25,87,25,26,232,2484,2092,789,1964,1564,872,996,650,72,812,475,79,48,20,1,0.006,105,31.4,785
14,7345,6329,9660,16277,7179,9699,56489,88,37,35,115,49,33,357,2739,2109,798,1936,1551,859,1062,596,80,784,445,94,81,20,1,0.007,168,35.4,1151
15,7843,6126,9780,16223,7153,9654,56779,187,36,49,203,50,81,606,2887,2026,782,1960,1528,881,1186,621,69,782,470,88,127,47,1,0.015,264,35.4,1713
16,8004,6271,9602,16228,7157,9772,57034,216,78,92,306,104,102,898,2976,2035,743,1908,1558,880,1209,615,81,773,470,87,199,60,1,0.019,345,37.7,2535
17,8191,6048,9752,16157,7228,9706,57082,352,119,102,414,128,145,1260,3006,1964,804,1886,1665,883,1177,602,91,734,533,94,260,89,1,0.028,508,45.9,3742
18,8212,6168,9529,16037,7147,9695,56788,534,136,166,615,181,219,1851,3029,2054,724,1892,1564,861,1203,623,76,790,473,94,415,136,1,0.042,678,45.9,5470
19,8133,6074,9526,15943,7106,9631,56413,706,229,254,867,273,283,2612,3059,1998,755,1908,1528,823,1184,565,66,796,445,94,511,184,1,0.058,907,45.9,7879
20,8004,5951,9179,15635,6939,9390,55098,962,310,317,1200,338,426,3553,2937,1942,707,1839,1483,816,1166,579,72,753,442,97,762,280,1,0.09,1178,55,11233
21,7765,5780,9229,15346,6864,9259,54243,1161,408,448,1498,485,523,4523,2842,1804,743,1786,1491,852,1090,553,72,716,442,85,940,338,1,0.114,1470,55.9,15493
22,7664,5789,8921,14904,6676,8946,52900,1499,590,555,2003,613,663,5923,2918,1893,732,1676,1529,801,1177,596,63,688,463,73,1259,421,1,0.138,1808,60.2,21052
23,7257,5373,8558,14147,6382,8351,50068,1714,600,703,2452,721,838,7028,2717,1737,637,1657,1348,773,1067,518,56,677,405,89,1362,480,1,0.171,2074,60.2,27736
24,6762,5152,7996,13305,5843,7927,46985,1860,772,842,2862,840,986,8162,2467,1646,628,1571,1332,726,974,504,74,623,409,82,1577,546,1,0.205,2245,60.2,35499
25,6327,4790,7357,12111,5465,7310,43360,2032,861,1014,3162,948,1197,9214,2375,1569,579,1460,1222,694,957,459,65,558,391,69,1834,639,1,0.256,2404,60.8,44301
1,6736,5964,9516,15744,7047,9334,54341,0,0,0,0,0,0,0,2469,2755,708,1833,1561,897,952,807,64,733,491,87,0,0,0,0,0,0,0
1,6718,6014,9354,15853,7097,9616,54652,0,0,0,0,0,0,0,2384,2758,762,1892,1484,854,977,803,78,731,447,81,0,0,0,0,0,0,0
1,6731,6036,9718,15804,7062,9597,54948,0,1,0,0,0,0,1,2461,2927,767,1878,1510,865,968,883,83,772,458,99,1,0,0,0,0,0,0
1,6734,6055,9439,15812,7043,9474,54557,0,0,1,0,0,0,1,2523,2823,752,1869,1586,803,1037,880,81,737,490,69,0,0,0,0,1,0,0
2,6634,6063,9409,15673,7099,9512,54390,0,0,0,2,1,0,3,2514,2775,774,1882,1594,828,1006,798,71,769,438,89,1,1,1,0,1,1,3
3,6584,6045,9302,15575,7072,9257,53835,0,1,0,3,1,3,8,2445,2800,768,1795,1587,859,959,885,81,684,493,85,1,0,1,0,4,1,11
4,6605,5959,9347,15786,6829,9375,53901,1,1,0,6,1,0,9,2496,2800,795,1894,1507,873,1028,810,65,771,428,99,2,1,1,0,6,3,18
5,6470,5881,9451,15642,6957,9331,53732,2,0,0,5,1,3,11,2400,2724,764,1834,1526,799,926,808,93,741,468,70,2,1,1,0,5,4.1,31
6,6441,6015,9257,15710,6922,9517,53862,2,4,4,8,3,0,21,2378,2742,771,1872,1542,848,924,810,66,727,464,80,4,2,1,0.001,9,36.1,51
7,6606,5900,9315,15725,7092,9477,54115,9,0,1,8,2,5,25,2426,2779,754,1886,1558,876,982,856,73,715,452,76,6,2,1,0.001,8,36.1,73
8,6539,5870,9437,15747,7075,9524,54192,11,2,2,9,1,4,29,2430,2733,752,1861,1617,853,971,800,77,738,499,102,7,3,1,0.001,13,36.1,103
9,6398,6063,9492,15832,7048,9386,54219,18,0,0,10,3,2,33,2324,2880,761,1837,1592,796,928,861,75,710,456,86,10,4,1,0.001,12,36.1,127
10,6511,6030,9622,15910,6991,9546,54610,17,0,2,12,2,6,39,2389,2828,767,2003,1534,883,940,837,71,798,489,75,8,5,1,0.002,19,36.1,163
11,6552,6198,9365,15754,7100,9630,54599,17,4,4,9,7,3,44,2408,2937,738,1890,1578,867,936,921,79,750,481,78,11,5,1,0.002,19,36.1,201
12,6594,6021,9376,15832,7154,9419,54396,19,1,7,15,4,7,53,2393,2884,742,1854,1527,875,936,847,63,718,425,86,14,6,1,0.002,21,36.1,251
13,6532,5989,9426,15964,7001,9475,54387,16,5,10,24,5,10,70,2423,1948,773,1881,1519,802,971,566,81,771,468,81,15,7,1,0.002,31,36.1,317
14,7211,6002,9535,15942,7078,9629,55397,26,16,1,39,12,15,109,2642,2019,800,1836,1539,877,1069,614,84,722,456,87,27,10,1,0.003,38,36.1,407
15,7605,5998,9310,16029,7130,9680,55752,53,7,19,50,10,16,155,2797,1963,811,1924,1585,879,1095,634,90,748,472,89,32,14,1,0.004,54,38.1,558
16,7906,5873,9718,16010,7180,9538,56225,49,11,23,51,24,21,179,2994,1894,821,1878,1618,852,1209,561,76,760,492,90,43,14,1,0.004,61,38.1,720
17,7944,6164,9489,16066,7064,9581,56308,43,27,25,84,31,21,231,2855,2060,789,1929,1552,818,1156,629,77,754,493,68,48,13,1,0.004,85,46.9,955
18,8185,6040,9455,15942,7154,9596,56372,71,24,33,124,33,46,331,3021,1997,742,1784,1546,882,1204,575,70,706,484,82,51,21,1,0.007,130,52.3,1285
19,8238,6058,9701,16124,7042,9595,56758,116,36,37,184,43,62,478,3164,1998,754,1874,1533,825,1273,616,61,723,442,78,96,29,1,0.009,175,52.3,1760
20,8125,6220,9547,16116,7134,9585,56727,186,54,59,227,72,73,671,3002,2110,747,1902,1538,878,1205,639,71,737,481,89,144,43,1,0.013,233,59.7,2432
21,8152,6145,9503,15908,7056,9565,56329,233,60,74,279,73,77,796,3028,2081,740,1790,1554,864,1243,614,70,721,449,77,190,71,1,0.022,280,65.1,3167
22,8175,5960,9432,15894,7074,9647,56182,292,81,98,331,82,114,998,3028,1970,737,1986,1515,835,1217,581,81,803,423,90,221,85,1,0.027,345,65.1,4131
23,8034,6012,9391,15748,7191,9510,55886,383,138,118,414,126,158,1337,3011,1980,761,1811,1594,848,1215,560,61,725,507,83,304,115,1,0.036,431,65.1,5378
24,8043,5962,9404,15934,6980,9652,55975,467,150,152,544,161,210,1684,2966,2014,773,1840,1544,867,1154,585,67,731,461,84,369,131,1,0.043,526,65.1,6892
25,7913,5929,9584,15890,7090,9523,55929,541,148,202,693,207,224,2015,2902,2003,781,1848,1599,834,1163,601,74,742,497,86,424,141,1,0.045,660,65.1,8829
1,6716,5950,9552,15815,7078,9720,54831,0,0,1,0,0,1,2,2492,2806,757,1792,1587,871,1009,829,71,699,488,88,1,0,0,0,0,0,1
2,6542,6115,9589,15772,7214,9445,54677,0,0,0,1,0,0,1,2451,2848,779,1874,1583,847,952,850,76,770,463,67,0,0,0,0,0,0,2
1,6738,6063,9538,15801,7054,9393,54587,0,1,0,0,0,0,1,2518,2828,755,1823,1551,842,1008,892,71,730,495,74,0,0,0,0,1,0,0
2,6602,6060,9562,15712,6960,9410,54306,2,0,0,0,0,0,2,2471,2843,724,1854,1565,844,1001,876,78,754,458,82,0,0,0,0,1,5.1,2
3,6529,6081,9304,15612,7039,9462,54027,2,0,0,0,0,0,2,2364,2851,721,1910,1485,819,957,864,67,790,461,82,1,0,0,0,1,5.1,2
1,6688,6005,9481,15902,7113,9466,54655,0,0,1,0,1,0,2,2500,2822,717,1850,1498,843,1003,864,69,750,467,85,0,0,0,0,1,0,1
2,6592,6075,9611,15853,7063,9610,54804,1,1,0,3,0,0,5,2386,2843,746,1774,1537,869,998,801,72,719,452,100,2,1,1,0,3,20.2,4
3,6574,6074,9410,15829,7070,9391,54348,0,0,1,2,0,0,3,2416,2814,778,1875,1572,833,967,835,70,689,457,89,0,0,1,0,2,20.2,9
4,6613,5982,9540,15986,7014,9590,54725,0,2,0,4,1,1,8,2449,2814,795,1944,1537,891,966,827,79,768,469,79,2,0,1,0,5,20.2,19
5,6472,6096,9430,16006,7068,9795,54867,2,0,1,3,0,2,8,2358,2912,751,1874,1537,857,913,879,86,727,457,83,1,0,1,0,4,20.2,26
6,6468,6074,9564,16079,7307,9745,55237,5,3,0,4,2,1,15,2395,2922,746,1922,1564,865,966,886,80,774,470,82,4,1,1,0,8,26.4,41
7,6465,6117,9644,16257,7281,9768,55532,5,2,4,7,0,1,19,2378,2896,783,1866,1619,846,956,850,69,698,462,94,5,2,1,0.001,8,26.4,59
8,6521,6160,9854,16338,7292,9784,55949,8,1,0,9,2,4,24,2378,2893,748,1960,1655,845,903,893,69,803,491,69,7,4,1,0.001,9,26.4,83
9,6601,6197,9652,16399,7269,9787,55905,3,1,1,10,4,4,23,2512,2889,803,1924,1597,899,1015,852,85,779,453,83,4,0,1,0,10,26.4,101
10,6638,6154,9853,16443,7267,9835,56190,6,1,2,16,2,6,33,2483,2870,751,1964,1614,869,1021,864,77,805,471,111,8,3,1,0.001,16,26.4,133
11,6622,6338,9898,16311,7282,9775,56226,4,8,6,22,4,9,53,2504,2948,772,1946,1574,895,992,879,77,760,498,80,11,1,1,0,21,28,189
12,6677,6305,9854,16204,7242,9738,56020,11,10,5,21,9,8,64,2417,2989,810,1891,1617,839,992,881,88,774,497,87,18,4,1,0.001,26,28,250
13,6797,6299,9694,16282,7221,9815,56108,16,6,6,24,11,8,71,2496,2062,789,1885,1603,875,952,623,80,730,461,89,8,4,1,0.001,39,28,326
14,7600,6187,9622,16153,7210,9770,56542,34,10,15,45,6,14,124,2825,2029,747,1850,1532,874,1200,601,71,771,471,78,22,6,1,0.002,64,28,443
15,7983,6228,9830,16305,7246,9746,57338,58,13,7,43,21,13,155,2929,2026,774,1879,1579,866,1145,592,64,713,486,94,41,13,1,0.004,75,34.5,580
16,8227,6268,9782,16366,7216,9838,57697,86,15,13,59,11,29,213,2970,2075,737,1899,1642,881,1188,641,66,731,478,85,41,11,1,0.003,106,34.5,775
17,8406,6212,9703,16230,7218,9814,57583,114,17,24,79,32,16,282,3065,2062,720,1982,1637,911,1246,565,71,786,482,96,64,27,1,0.008,138,36.1,1033
18,8461,6249,9589,16136,7211,9640,57286,120,22,36,126,38,47,389,3079,2058,776,1901,1537,880,1238,632,76,767,492,98,86,32,1,0.01,168,36.1,1400
19,8544,6112,9707,16239,7159,9693,57454,149,46,65,204,65,55,584,3231,2014,786,1915,1564,884,1278,628,88,765,482,96,108,37,1,0.011,232,36.9,1955
20,8370,6167,9743,16189,7203,9601,57273,247,84,83,317,84,91,906,3158,2048,768,1967,1585,908,1273,590,88,792,461,77,177,58,1,0.018,351,38.6,2816
21,8296,6159,9633,16142,7108,9613,56951,399,102,111,442,128,172,1354,3067,2074,818,1897,1614,905,1170,618,73,753,499,88,276,93,1,0.029,480,42.2,4085
22,8185,5974,9552,16005,7088,9559,56363,474,136,169,647,194,244,1864,3033,1952,781,1872,1493,902,1183,594,69,779,402,84,378,120,1,0.039,600,42.2,5843
23,8050,6132,9339,15905,6955,9505,55886,590,210,201,819,254,249,2323,2973,2039,781,1899,1520,851,1187,627,74,751,458,109,483,165,1,0.051,726,42.2,8042
24,7997,5844,9284,15503,6893,9452,54973,702,244,296,1039,321,359,2961,2959,1945,743,1873,1520,843,1159,602,70,727,451,86,617,209,1,0.068,887,42.4,10904
25,7758,5776,9110,15024,6853,9046,53567,838,344,384,1312,380,469,3727,2904,1875,718,1803,1475,812,1139,561,74,774,430,89,739,266,1,0.087,1033,46.1,14514
